Name	Nickname	RA	DEC	Field	CCD	ref.epoch	ipix	jpix
							
SNHiTS15A	Ana Maria	09:26:21.05	-00:38:16.99	14	N16	02	681	88
SNHiTS15B	Guadalupe	10:08:10.38	02:36:51.80	35	S21	02	1635	1875
SNHiTS15C	Clea	10:19:19.59	-06:45:44.93	40	N10	02	300	1019
SNHiTS15D	Daniela	10:21:19.62	-06:58:23.34	40	N17	02	2837	1635
SNHiTS15E	Amalia	09:10:20.89	-04:21:47.47	02	N5	02	2755	805
SNHiTS15F	Mariajose	09:15:18.15	-00:44:39.67	07	N14	02	2994	1528
SNHiTS15G	Constanza	10:44:50.63	-00:01:37.52	47	N7	02	661	329
SNHiTS15H	Francisca	09:16:10.52	-00:23:34.26	07	N2	02	3860	1214
SNHiTS15I	Olga-Lucia	10:25:27.63	01:20:52.38	45	N20	02	3873	212
SNHiTS15J	Teahine	9:47:05.67	02:31:49.86	25	S14	02	1111	1660
SNHiTS15K	Xime	10:10:10.37	-02:46:30.46	33	N28	02	497	246
SNHiTS15L	Natalia	10:12:43.21	-00:45:10.52	34	N27	02	774	1246
SNHiTS15M	Ketty	09:28:10.65	-02:15:23.11	13	S1	02	1750	1624
SNHiTS15N	Paola	10:27:15.41	-06:49:24.36	41	N9	02	3247	1851
SNHiTS15O	Farners	09:59:11.25	02:29:53.44	26	S9	02	4019	508
SNHiTS15P	Rosemary	09:17:52.74	-00:00:45.30	07	S10	02	3300	518
SNHiTS15Q	Patricia	09:58:16.24	01:58:09.33	26	N9	02	895	988
SNHiTS15R	Amanda	09:46:50.43	-05:06:01.30	22	N27	02	3278	1883
SNHiTS15S	Jeronimo	09:43:24.72	-07:00:49.39	20	N28	02	3067	703
SNHiTS15T	Fuencisla	10:09:11.64	-06:00:10.27	31	S4	02	733	923
SNHiTS15U	Maxi	10:11:11.67	01:29:44.89	35	N23	02	3472	1409
SNHiTS15V	Piriguina	10:11:00.08	01:57:27.02	35	N5	02	2801	1842
SNHiTS15W	Marisol	09:23:32.03	02:13:01.74	06	S23	02	470	1885
SNHiTS15X	Tamsin	09:10:35.10	01:35:27.82	05	N2	02	553	1443
SNHiTS15Y	Sadie	09:34:03.87	-02:21:34.47	13	N6	02	617	773
SNHiTS15Z	Ayu	09:21:03.45	-01:20:41.04	08	S29	02	480	362
SNHiTS15aa	Andrea	09:52:11.14	-06:09:40.69	21	S5	02	3584	276
SNHiTS15ab	Kathy	09:33:47.68	-04:11:23.40	19	S2	02	931	699
SNHiTS15ac	Camila	09:59:19.21	-05:34:00.01	30	S21	02	2818	1701
SNHiTS15ad	Gabriela	10:07:31.37	-06:02:27.58	31	S2	02	3559	1448
SNHiTS15ae	Ivet	10:22:03.18	-04:32:36.15	42	S17	02	533	1135
SNHiTS15af	Carme	10:16:27.76	-2:42:16.08	38	N21	02	3491	1526
SNHiTS15ag	Alexandra	10:28:27.05	-02:31:47.06	43	N17	02	3473	755
SNHiTS15ah	Blanca	10:25:15.01	01:07:09.53	45	N25	02	1041	1096
SNHiTS15ai	Raquel	10:23:22.17	-05:53:31.39	42	N31	02	2908	1586
SNHiTS15aj	Nicole	09:59:21.60	-01:37:36.58	28	S16	02	817	290
SNHiTS15ak	Susana	10:23:22.16	-5:53:31.40	40	S24	02	3409	348
SNHiTS15al	Goretti	10:39:11.74	00:26:1.52	47	S15	02	471	791
SNHiTS15am	Nancy	10:30:3.82	-03:47:59.24	49	S15	02	2552	1347
SNHiTS15an	Jacinta	10:26:12.25	-01:55:13.31	43	S10	02	43	1443
SNHiTS15ao	Ignacia	10:15:32.76	-02:58:16.70	38	N29	02	358	694
SNHiTS15ap	Maria	09:16:43.25	-02:36:39.91	03	N13	02	2382	1946
SNHiTS15aq	Anna	09:35:38.87	02:06:50.47	15	S19	02	3928	1042
SNHiTS15ar	Nuria	09:24:34.69	-02:18:34.57	08	N5	02	4023	73
SNHiTS15as	Laia	09:24:34.69	09:30:24.51	14	N19	02	1802	719
SNHiTS15at	Paquita	09:24:34.69	02:01:22.89	25	N7	02	2071	1835
SNHiTS15au	Rosa Mari	09:24:34.69	00:20:42.63	27	S10	02	3387	1780
SNHiTS15av	Elizabeth	09:54:21.19	-04:37:13.07	29	N21	02	1661	0370
SNHiTS15aw	Maria Soledad	10:09:34.73	-01:40:37.73	33	S17	02	2704	0980
SNHiTS15ax	Anita	10:09:17.20	-00:15:56.39	34	N8	02	1779	1338
SNHiTS15ay	Emma	10:19:45.67	-04:41:56.58	42	S9	02	1232	1021
SNHiTS15az	Pili	10:34:49.38	-06:14:47.32	50	S3	02	313	1641
SNHiTS15ba	Yayan	09:33:48.97	-04:34:54.60	19	N8	02	3133	1553
SNHiTS15bb	Mariaca	10:00:15.19	02:53:31.09	26	S26	02	3401	1873
SNHiTS15bc	Sofia	10:15:42.96	-00:24:07.61	34	N19	02	2522	941
SNHiTS15bd	Julia	09:29:27.40	-03:29:20.89	12	S28	02	2770	92
SNHiTS15be	Agustina	10:27:26.66	01:48:12.50	45	N4	02	2145	728
SNHiTS15bf	Io	10:36:38.07	01:20:28.46	46	N22	02	1956	320
SNHiTS15bg	Juliastuti	10:28:47.20	-04:37:46.94	49	N14	02	2460	1452
SNHiTS15bh	Rosni	10:11:39.57	-03:55:41.97	39	S10	02	1757	0857
SNHiTS15bi	Rayén	10:24:59.15	-02:51:39.57	43	N25	02	139	813
SNHiTS15bj	Victoria	09:37:58.66	-05:51:26.31	20	S14	02	1576	640
SNHiTS15bk	Fernanda	09:48:58.67	 02:08:05.31	25	N3	02	1184	333
SNHiTS15bl	Ayelén	09:32:33.03	01:05:05.07	15	N22	02	3970	1632
SNHiTS15bm	Suyai	10:28:07.40	-05:33:51.97	41	S29	02	4033	376
SNHiTS15bn	Matilda	09:11:43.63	-02:25:45.46	03	N3	02	206	1712
SNHiTS15bo	Maria Gracia	09:10:27.84	-02:56:14.95	03	N20	02	128	1934
SNHiTS15bp	Keka	09:13:37.72	01:15:33.53	05	N17	02	331	1469
